Aus Sicht von ComfortSoft:;;;
A= Empfangen; Lesen;;
B= Senden; Schreiben;;
;;;
Input;Data;Description;Dec Value
A;0D;"   ""SAMMLERISTTEMP""                                   ";13
B;0D;"   ""SAMMLERISTTEMP""                                   ";13
A;0;Not;0
B;0;Not;0
A;0D;"   ""SAMMLERISTTEMP""                                   ";13
B;0D;"   ""SAMMLERISTTEMP""                                   ";13
B;1;"   ""FEHLERMELDUNG""                                    ";1
A;1;"   ""FEHLERMELDUNG""                                    ";1
B;0;Not;0
A;0;Not;0
B;0B;"   ""GERAETE_ID""                                       ";11
A;0B;"   ""GERAETE_ID""                                       ";11
B;0;Not;0
A;0;Not;0
B;0;Not;0
A;0;Not;0
B;0;Not;0
A;0;Not;0
B;0;Not;0
A;0;Not;0
A;0;Not;0
B;0;Not;0
A;26;"   ""SPERRZEIT""                                        ";38
B;26;"   ""SPERRZEIT""                                        ";38
B;55;"   ""SPL_PUMPE""                                        ";85
B;55;"   ""SPL_PUMPE""                                        ";85
B;55;"   ""SPL_PUMPE""                                        ";85
B;55;"   ""SPL_PUMPE""                                        ";85
B;55;"   ""SPL_PUMPE""                                        ";85
B;55;"   ""SPL_PUMPE""                                        ";85
B;55;"   ""SPL_PUMPE""                                        ";85
B;55;"   ""SPL_PUMPE""                                        ";85
B;55;"   ""SPL_PUMPE""                                        ";85
B;55;"   ""SPL_PUMPE""                                        ";85
B;3;"   ""SPEICHERSOLLTEMP""                                 ";3
B;52;"   ""BRENNER""                                          ";82
B;0D;"   ""SAMMLERISTTEMP""                                   ";13
A;0D;"   ""SAMMLERISTTEMP""                                   ";13
B;0;Not;0
A;0;Not;0
B;0C;"   ""AUSSENTEMP""                                       ";12
A;0C;"   ""AUSSENTEMP""                                       ";12
B;1;"   ""FEHLERMELDUNG""                                    ";1
A;1;"   ""FEHLERMELDUNG""                                    ";1
B;0;Not;0
A;0;Not;0
B;0B;"   ""GERAETE_ID""                                       ";11
A;0B;"   ""GERAETE_ID""                                       ";11
A;0;Not;0
B;0;Not;0
A;0;Not;0
B;0;Not;0
A;0;Not;0
B;0;Not;0
B;0;Not;0
A;0;Not;0
A;0;Not;0
B;0;Not;0
B;25;"   ""SPEICHERSPERRE""                                   ";37
A;25;"   ""SPEICHERSPERRE""                                   ";37
A;0D;"   ""SAMMLERISTTEMP""                                   ";13
B;0D;"   ""SAMMLERISTTEMP""                                   ";13
A;0;Not;0
B;0;Not;0
A;0C;"   ""AUSSENTEMP""                                       ";12
B;0C;"   ""AUSSENTEMP""                                       ";12
A;1;"   ""FEHLERMELDUNG""                                    ";1
B;1;"   ""FEHLERMELDUNG""                                    ";1
B;1;"   ""FEHLERMELDUNG""                                    ";1
A;1;"   ""FEHLERMELDUNG""                                    ";1
B;0B;"   ""GERAETE_ID""                                       ";11
A;0B;"   ""GERAETE_ID""                                       ";11
B;0;Not;0
A;0;Not;0
B;0;Not;0
A;0;Not;0
B;0;Not;0
A;0;Not;0
B;0;Not;0
A;0;Not;0
B;0;Not;0
A;0;Not;0
B;26;"   ""SPERRZEIT""                                        ";38
A;26;"   ""SPERRZEIT""                                        ";38
B;0C;"   ""AUSSENTEMP""                                       ";12
B;1;"   ""FEHLERMELDUNG""                                    ";1
B;0D;"   ""SAMMLERISTTEMP""                                   ";13
B;2;"   ""KESSELSOLLTEMP""                                   ";2
B;0;Not;0
B;0B;"   ""GERAETE_ID""                                       ";11
B;A5;Not;165
B;1E;Not;30
B;0;Not;0
B;0;Not;0
B;0;Not;0
B;EA;Not;234
B;0D;"   ""SAMMLERISTTEMP""                                   ";13
A;0D;"   ""SAMMLERISTTEMP""                                   ";13
B;0;Not;0
A;0;Not;0
B;0C;"   ""AUSSENTEMP""                                       ";12
A;0C;"   ""AUSSENTEMP""                                       ";12
B;1;"   ""FEHLERMELDUNG""                                    ";1
A;1;"   ""FEHLERMELDUNG""                                    ";1
B;2;"   ""KESSELSOLLTEMP""                                   ";2
A;2;"   ""KESSELSOLLTEMP""                                   ";2
B;0B;"   ""GERAETE_ID""                                       ";11
A;0B;"   ""GERAETE_ID""                                       ";11
B;0;Not;0
A;0;Not;0
A;0;Not;0
B;0;Not;0
A;0;Not;0
B;0;Not;0
B;0;Not;0
A;0;Not;0
B;0;Not;0
A;0;Not;0
B;27;"   ""HYSTERESE2""                                       ";39
A;27;"   ""HYSTERESE2""                                       ";39
A;0D;"   ""SAMMLERISTTEMP""                                   ";13
B;0D;"   ""SAMMLERISTTEMP""                                   ";13
B;0;Not;0
A;0;Not;0
